SRR12183187_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.5	6.0	66.5	89.5	21.25	15.75	10.5	9.75	12.75	69.0	141.5	325.0	727.25	789.0	529.75	266.25	337.5	563.75	791.5	900.5	817.25	705.0	543.0	332.5	188.0	90.0	79.25	54.5	24.75	9.0	4.5	5.0	2.5	2.25	1.25	0.75	1.25	0.5	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183204_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.0	0.75	32.0	54.0	8.5	5.0	7.5	4.0	3.25	8.0	16.0	90.0	210.25	158.0	120.5	119.5	304.75	840.5	1337.75	1360.0	1185.5	754.75	467.0	303.0	218.25	179.5	168.0	131.75	67.5	44.0	27.25	16.75	10.0	2.5	1.25	1.5	0.5	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183204_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.5	4.25	30.75	38.25	8.75	7.25	6.5	4.0	3.5	10.75	19.75	95.0	183.5	145.75	124.25	146.0	329.25	780.25	1247.75	1286.25	1179.75	811.75	501.5	343.75	241.25	187.25	156.25	137.5	95.5	49.25	28.0	18.75	14.5	6.75	3.0	1.0	0.25	0.0	0.25	0.25	0.0	0.0	0.25	0.0	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183215_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.5	0.25	1.25	1.0	3.0	6.75	3.0	35.75	53.75	8.0	4.5	8.25	44.75	26.75	23.5	51.0	134.5	540.0	266.75	170.5	141.0	298.25	823.0	1169.0	1192.25	1093.75	816.5	585.75	390.0	216.0	144.25	117.25	92.25	68.25	44.5	28.75	15.25	13.75	5.5	2.75	1.25	0.0	0.5	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183215_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.25	4.5	6.75	6.0	32.5	43.0	10.5	12.25	42.25	25.5	15.75	20.5	43.75	138.5	488.75	269.25	165.5	148.25	297.25	776.75	1161.75	1179.5	1084.0	845.25	617.5	397.75	237.0	152.75	123.5	102.25	85.5	50.75	23.25	17.0	11.25	8.75	3.25	2.5	1.5	0.25	0.25	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
SRR12183228_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75	0.0	0.0	0.5	2.25	3.75	7.0	9.5	7.25	9.25	8.75	16.75	43.25	67.5	27.5	34.75	109.0	271.0	320.25	360.75	417.25	734.75	1074.25	1763.0	2733.25	2713.5	2201.5	1688.5	1118.5	600.5	402.5	287.5	208.25	141.0	114.25	107.75	70.5	28.0	15.5	6.25	2.25	1.75	1.75	0.75	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183228_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.5	1.5	1.25	5.0	6.5	10.0	8.25	7.0	7.75	43.75	57.0	28.5	23.0	32.0	101.5	248.75	304.75	338.0	411.25	690.25	1008.0	1646.0	2492.5	2666.75	2224.25	1766.5	1250.25	756.5	448.5	323.25	242.5	171.25	126.25	102.5	82.25	50.25	28.0	13.75	6.0	4.0	2.5	1.5	0.5	0.25	0.75	0.5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183238_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.75	1.75	0.75	1.0	4.0	8.25	7.0	7.75	8.5	10.5	17.75	20.0	21.75	18.25	9.75	4.5	3.5	1.75	0.5	0.5	0.25	0.0	0.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183238_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.25	1.25	1.25	3.5	6.0	7.75	7.75	9.75	11.0	17.75	19.25	23.75	16.5	8.75	6.5	2.75	1.25	1.25	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183239_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.0	2.0	1.25	0.75	4.0	6.75	7.5	9.0	11.75	14.25	16.25	20.5	12.5	16.0	12.25	21.0	50.25	125.75	270.25	276.75	235.25	440.0	647.0	906.25	1459.75	1912.0	2216.0	1730.75	1396.5	1059.75	480.5	262.5	164.75	89.5	50.0	46.25	40.75	27.0	11.75	7.5	4.25	2.5	1.75	0.75	0.25	0.5	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
