Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	252	257	262	267	272	277	282	287	290
SRR12183139_1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33304343377500384	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.8236558039596871	0.823655803959687
SRR12183139_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007673811838133729	0.017905560955645366	0.017905560955645366	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.024556197882027935	0.025579372793779098	0.025579372793779098	0.025579372793779098	0.02864889752903259	0.030695247352534916	0.030695247352534916	0.0312068348084105	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.033253184631912826	0.03581112191129073	0.038369059190668645	0.038369059190668645	0.038369059190668645	0.038369059190668645	0.03939223410241981	0.07008748145495472	0.07213383127845704	0.07418018110195938	0.3709009055097969	1.5168568066711003	1.5265769683327366	1.5731314268174144
SRR12183139_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030695247352534915	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.007673811838133729	0.008185399294009311	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.01023174911751164	0.014324448764516296	0.015347623676267458	0.015347623676267458	0.015347623676267458	0.016882386043894203	0.017905560955645366	0.017905560955645366	0.018417148411520947	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02046349823502328	0.02302143551440119	0.025579372793779098	0.025579372793779098	0.025579372793779098	0.025579372793779098	0.02660254770553026	0.05473985777868726	0.056274620146314014	0.056274620146314014	0.3192305724663631	1.330127385276513	1.3331969100117664	1.3531488207909141
SRR12183147_1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038094028760991714	0.6266467731183136	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137	1.5459826672169137
SRR12183147_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019047014380495857	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.0031745023967493097	0.019047014380495858	0.01968191485984572	0.022221516777245168	0.02285641725659503	0.025396019173994477	0.026665820132694203	0.0317450239674931	0.0317450239674931	0.03364972540554269	0.034919526364242406	0.034919526364242406	0.03745912828164185	0.038094028760991716	0.044443033554490335	0.050792038347988955	0.0584108441001873	0.060315545538236884	0.06285514745563633	0.0634900479349862	0.0634900479349862	0.0634900479349862	0.0634900479349862	0.0634900479349862	0.06539474937303578	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.06856925176978508	0.06983905272848481	0.07047395320783467	0.07301355512523412	0.07301355512523412	0.07301355512523412	0.07301355512523412	0.07301355512523412	0.08952096758833053	0.1199961905971239	0.12063109107647377	0.12190089203517349	0.12888479730802196	0.15936002031681534	0.31427573727818164
SRR12183147_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01587251198374655	0.01650741246309641	0.019047014380495858	0.01968191485984572	0.022221516777245168	0.023491317735944893	0.02857052157074379	0.02857052157074379	0.03047522300879337	0.0317450239674931	0.034919526364242406	0.03745912828164185	0.038094028760991716	0.042538332116440744	0.047617535951239645	0.05523634170343798	0.05714104314148758	0.05968064505888702	0.060315545538236884	0.060315545538236884	0.060315545538236884	0.060315545538236884	0.060315545538236884	0.062220246976286475	0.0634900479349862	0.0634900479349862	0.0634900479349862	0.0634900479349862	0.06539474937303578	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.0666645503317355	0.07428335608393384	0.08888606710898067	0.08888606710898067	0.09015586806768039	0.09650487286117901	0.10285387765467764	0.14920161264721754
SRR12183158_1 - illumina_small_rna_3'_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15598290598290598	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051	0.3926282051282051
SRR12183158_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005341880341880342	0.005876068376068376	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.010683760683760684	0.010683760683760684	0.010683760683760684	0.013354700854700854	0.018696581196581196	0.018696581196581196	0.018696581196581196	0.018696581196581196	0.020833333333333332	0.02403846153846154	0.02403846153846154	0.02777777777777778	0.02938034188034188	0.02938034188034188	0.02938034188034188	0.03258547008547008	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.03685897435897436	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.03739316239316239	0.08226495726495726	0.1420940170940171	0.14423076923076922	0.14423076923076922	0.14423076923076922	0.15811965811965814	0.30982905982905984
SRR12183158_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005341880341880342	0.003739316239316239	0.005341880341880342	0.005341880341880342	0.005341880341880342	0.005341880341880342	0.005341880341880342	0.005341880341880342	0.005341880341880342	0.008012820512820512	0.008012820512820512	0.008012820512820512	0.010683760683760684	0.016025641025641024	0.016025641025641024	0.016025641025641024	0.016025641025641024	0.018162393162393164	0.021367521367521368	0.021367521367521368	0.025106837606837608	0.026709401709401708	0.028311965811965812	0.02938034188034188	0.031517094017094016	0.03205128205128205	0.03205128205128205	0.03205128205128205	0.03205128205128205	0.03205128205128205	0.03205128205128205	0.03418803418803419	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.034722222222222224	0.06891025641025642	0.11271367521367522	0.11485042735042734	0.11485042735042734	0.11485042735042734	0.11858974358974358	0.17094017094017094
