Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR12183139_1										7.904026193277741	5.348646851179209	26.472092904281986	11.682099554918913	38.88832045838236	0.0	0.0
SRR12183139_2										22.563564741392543	11.431421701539879	36.228065687829336	12.59272522637745	0.0	0.0	0.0
SRR12183147_1										6.8061331386305195	4.761753595123965	20.989809847306436	16.170915209040984	42.61134567156598	0.0	0.0
SRR12183147_2										15.072537379765722	10.774261134567157	53.537982921177104	5.190311418685121	0.0	0.0	0.0
SRR12183158_1										6.493055555555556	4.52991452991453	19.52457264957265	23.12767094017094	37.262286324786324	0.0	0.0
SRR12183158_2										13.72061965811966	15.761217948717949	45.355235042735046	9.145299145299145	0.0	0.0	0.0
SRR12183176_1										14.267702682891073	8.925377510628941	26.981381029174607	7.075208913649026	27.59419439964815	0.0	0.0
SRR12183176_2										19.01480721301862	11.880955871573082	39.088110247764256	0.0	0.0	0.0	0.0
SRR12183187_1										14.047396320548799	10.870751481135017	38.11194262550671	9.354536950420954	10.266604303086996	0.0	0.0
SRR12183187_2										25.20657935765513	27.693327096975366	18.5414717804802	0.0	0.0	0.0	0.0
SRR12183204_1										20.38129089587204	11.939575086840618	34.26367234833185	14.225704822683577	0.0	0.0	0.0
SRR12183204_2										24.670813474432506	10.836901203651344	28.90378867436788	0.0	0.0	0.0	0.0
SRR12183215_1										19.04156064461408	13.027218752409592	39.07009021512838	8.686097617395328	0.0	0.0	0.0
SRR12183215_2										24.404348831829747	23.33641761122677	18.59434035006554	0.0	0.0	0.0	0.0
SRR12183228_1										18.01012058165127	11.437385955341522	36.57706126902312	9.798905171278617	4.986926014409601	0.0	0.0
SRR12183228_2										25.021162926315395	13.90545345096785	25.141556462687408	0.0	0.0	0.0	0.0
SRR12183238_1										15.198237885462554	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183238_2										0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183239_1										18.398104265402843	10.213270142180095	39.170616113744074	13.395734597156398	0.0	0.0	0.0
SRR12183239_2										29.208530805687204	16.338862559241708	18.15876777251185	0.0	0.0	0.0	0.0
SRR12183240_1										44.878957169459966	10.42830540037244	0.0	0.0	0.0	0.0	0.0
SRR12183240_2										10.986964618249534	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183241_1										12.224448897795591	43.8877755511022	11.122244488977955	0.0	0.0	0.0	0.0
SRR12183241_2										24.749498997995993	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183242_1										48.764044943820224	14.831460674157304	0.0	0.0	0.0	0.0	0.0
SRR12183242_2										17.97752808988764	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183243_1										50.1639344262295	18.524590163934427	0.0	0.0	0.0	0.0	0.0
SRR12183243_2										27.21311475409836	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183244_1										8.54368932038835	7.831715210355987	52.88025889967638	0.0	0.0	0.0	0.0
SRR12183244_2										47.055016181229774	4.660194174757281	10.29126213592233	0.0	0.0	0.0	0.0
SRR12183245_1										46.8944099378882	13.664596273291925	15.683229813664596	0.0	0.0	0.0	0.0
SRR12183245_2										30.745341614906835	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183250_1										35.099337748344375	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183250_2										6.622516556291391	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183259_1										12.603344784627582	9.53037109743667	25.5521159726679	22.01857374759334	14.689116236928538	0.0	0.0
SRR12183259_2										25.427535958322323	11.954018649250632	33.54977537845898	0.0	0.0	0.0	0.0
SRR12183269_1										14.384882375626686	6.302683047765964	17.87504820671037	24.797531816428847	21.191669880447357	0.0	0.0
SRR12183269_2										17.00732741997686	22.34312159109691	31.400473803096247	0.0	0.0	0.0	0.0
SRR12183285_1										15.646486667784673	9.649505282575884	30.714405500586956	14.4189166526916	11.613281905081335	0.0	0.0
SRR12183285_2										21.58141874895187	21.07663927553245	28.970316954553077	0.0	0.0	0.0	0.0
SRR12183296_1										7.622319439598487	5.998550685740358	39.80514774953702	10.01368796800773	26.812313803376362	0.0	0.0
SRR12183296_2										28.66153144206769	11.068466679191605	25.82194905928769	16.80936149655117	0.0	0.0	0.0
SRR12183309_1										17.054953560371516	11.613777089783282	28.03405572755418	8.726780185758514	16.559597523219814	0.0	0.0
SRR12183309_2										20.390866873065015	15.092879256965944	31.89628482972136	0.0	0.0	0.0	0.0
SRR12183310_1										19.0071870299181	13.698813304362359	39.64566271101454	9.918101286979777	0.0	0.0	0.0
SRR12183310_2										26.795921778372055	14.821995654354003	24.242019053986294	0.0	0.0	0.0	0.0
SRR12183321_1										16.66721991701245	12.255601659751038	23.75103734439834	11.764315352697094	21.175103734439833	0.0	0.0
SRR12183321_2										19.94688796680498	11.455601659751038	39.10705394190872	0.0	0.0	0.0	0.0
SRR12183332_1										17.3812984496124	11.361434108527131	33.737080103359176	15.996447028423772	4.618863049095608	0.0	0.0
SRR12183332_2										21.628714470284237	22.38372093023256	21.434916020671835	0.0	0.0	0.0	0.0
SRR12183337_1										15.83788444955447	8.96330363131168	31.18712273641851	16.9493149372425	9.940595956692535	0.0	0.0
SRR12183337_2										26.247963974322126	16.17322985532241	30.248155600268277	0.0	0.0	0.0	0.0
SRR12183348_1										19.50515867194758	15.881863967532151	42.44780206346878	0.0	0.0	0.0	0.0
SRR12183348_2										37.4993887829446	19.58828419148208	6.483790523690773	0.0	0.0	0.0	0.0
SRR12183359_1										9.523613794237331	5.18722512228205	36.91479304533684	25.225040075629906	11.476016276871222	0.0	0.0
SRR12183359_2										30.589009001603024	14.571088001972953	33.63886719552797	0.0	0.0	0.0	0.0
SRR12183366_1										7.106999426276535	6.723321858864027	26.792885829030403	10.674842226047044	39.077739529546754	0.0	0.0
SRR12183366_2										17.319277108433734	12.28126792885829	53.29173838209983	0.0	0.0	0.0	0.0
SRR12183377_1										7.815192894073976	6.731406602147687	18.073047858942065	30.067612355826594	26.8858544345751	0.0	0.0
SRR12183377_2										17.913959962879492	15.92536126209731	50.06297229219143	0.0	0.0	0.0	0.0
SRR12183388_1										7.402696514881709	3.9896548800135676	29.025693207835157	5.388789960145849	18.816246926142625	26.715000423980328	0.0
SRR12183388_2										16.79386076486051	9.751547528194692	0.0	55.64741795980667	4.540829305520224	0.0	0.0
SRR12183400_1										4.975267202543945	2.2149103436092217	4.061037010864765	12.598268704178075	68.13885699143185	0.0	0.0
SRR12183400_2										3.003268262520979	7.609751788711244	48.990813532373465	29.078703294761947	0.0	0.0	0.0
SRR12183411_1										4.746926761701391	3.3214058983089974	4.345818664512033	21.362613262538236	56.58509840133895	0.0	0.0
SRR12183411_2										3.6215155537600277	9.20528654700756	66.1424366595487	11.150227967911352	0.0	0.0	0.0
SRR12183422_1										4.5030089230130725	2.4209725392543406	4.3992529570450305	15.5956745290632	65.21869451937931	0.0	0.0
SRR12183422_2										3.2694657720596707	6.963178160522007	52.876345945447426	26.418574623596413	0.0	0.0	0.0
SRR12183423_1										20.34252944823311	11.775418474891506	39.941103533787974	5.308431494110353	0.0	0.0	0.0
SRR12183423_2										32.97427154370738	14.437383756974581	13.429944203347798	0.0	0.0	0.0	0.0
SRR12183434_1										4.80400419683861	1.0234094153666213	4.260479196408607	8.238875797657338	48.43736562376374	25.156951443953286	0.0
SRR12183434_2										4.401520493988545	2.2205404289719466	33.62630936204613	48.552606683981494	1.769896283045804	0.0	0.0
SRR12183445_1										4.66374141975845	2.2221739508210963	3.566773829177166	9.188461204274915	72.27821704752803	0.0	0.0
SRR12183445_2										3.078025892779564	3.2865583456425407	48.301329394387	34.733686679989574	0.0	0.0	0.0
SRR12183456_1										4.426732867315607	2.5491605147971517	1.6711308551643038	8.453648657476972	54.13470960998236	21.950741490821194	0.0
SRR12183456_2										3.4912131704448943	0.0	40.24171947475011	42.50081661984713	4.2516495720912	0.0	0.0
SRR12183467_1										40.95238095238095	5.6190476190476195	24.19047619047619	0.0	0.0	0.0	0.0
SRR12183467_2										30.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR12183485_1										19.975954869139	11.174049754924628	37.45029131600851	7.71293813002867	2.695829094608342	0.0	0.0
